conformation,torsion_1,torsion_2,torsion_3,torsion_4,torsion_5,torsion_6
trial1_mol_8,111.28318786621094,-140.95814514160156,-40.62713623046875,-85.25782775878906,148.55810546875,-170.49082946777344
trial1_mol_1,121.35858154296875,161.25901794433594,-118.01071166992188,169.70176696777344,-94.84651184082031,-143.0503387451172
trial1_mol_9,-169.23243713378906,-106.52836608886719,115.1034927368164,-137.612060546875,-85.03897857666016,-93.58477783203125
trial1_mol_2,-33.57601547241211,-165.8319854736328,-145.54083251953125,-39.01960754394531,113.79571533203125,36.665855407714844
trial1_mol_14,37.55290985107422,-83.65958404541016,-150.60671997070312,106.87903594970703,34.22634506225586,-107.1996841430664
trial1_mol_6,158.5063018798828,-128.83412170410156,41.6163444519043,134.17494201660156,87.62017059326172,-54.88489532470703
trial1_mol_13,-129.654052734375,-144.04698181152344,71.19014739990234,-13.35560131072998,177.74102783203125,121.54911804199219
trial1_mol_11,49.62760543823242,107.21208953857422,35.33745574951172,104.42352294921875,155.33889770507812,119.36998748779297
trial1_mol_5,-48.18659210205078,69.9603042602539,95.45014953613281,-13.648303031921387,30.817615509033203,-135.08543395996094
trial1_mol_3,-56.47711181640625,-2.6109702587127686,-99.97191619873047,103.87539672851562,-120.65355682373047,-2.152768850326538
trial1_mol_12,55.95123291015625,-72.14175415039062,-80.24964141845703,-16.39259147644043,12.134580612182617,169.18914794921875
trial1_mol_10,38.28476333618164,108.16735076904297,-66.7227554321289,-115.39620971679688,-77.25838470458984,-101.3292007446289
trial1_mol_4,66.63878631591797,-111.60555267333984,104.10501861572266,179.65850830078125,138.83908081054688,-0.9905132055282593
trial1_mol_7,125.75955963134766,41.98741149902344,86.15336608886719,25.732690811157227,-113.60560607910156,-40.62820053100586
trial1_mol_0,-121.43663787841797,106.23287963867188,-47.618675231933594,-131.9491729736328,-29.874250411987305,-11.18459701538086
