conformation,torsion_1,torsion_2,torsion_3,torsion_4,torsion_5,torsion_6
trial3_mol_9,-60.72489547729492,-23.448087692260742,-56.261146545410156,49.53112030029297,104.23848724365234,92.1811294555664
trial3_mol_11,-43.7608757019043,97.64065551757812,35.4941291809082,-178.64678955078125,75.45671081542969,123.2816390991211
trial3_mol_12,-41.70295333862305,67.53022003173828,40.75469970703125,-159.62120056152344,-31.63963508605957,-161.5558319091797
trial3_mol_0,-89.1587905883789,-133.34112548828125,138.5633087158203,-145.97911071777344,107.35343170166016,-20.03746223449707
trial3_mol_3,137.90660095214844,-135.12942504882812,37.13103485107422,108.43441772460938,-118.69759368896484,-39.32536697387695
trial3_mol_8,105.12389373779297,128.06121826171875,-47.807865142822266,43.85470199584961,-71.91588592529297,-79.33848571777344
trial3_mol_5,26.679643630981445,-73.49266052246094,34.75205993652344,-55.43577194213867,35.748321533203125,-72.59957122802734
trial3_mol_14,42.42741012573242,-76.65945434570312,-102.75485229492188,-95.88651275634766,-30.516618728637695,30.48543930053711
trial3_mol_2,89.21891784667969,-145.28970336914062,-73.98831939697266,-167.49325561523438,114.40773010253906,42.36176300048828
trial3_mol_1,113.8255844116211,-161.48069763183594,-48.02635192871094,165.3908233642578,53.89994430541992,166.75286865234375
trial3_mol_7,122.07723999023438,41.44263458251953,114.20701599121094,152.16802978515625,-123.17630004882812,-43.842750549316406
trial3_mol_6,41.46833038330078,-23.778013229370117,150.91793823242188,-168.90211486816406,66.474609375,-87.08918762207031
trial3_mol_10,-92.53331756591797,100.87948608398438,2.6520299911499023,-143.44091796875,-7.398629188537598,-112.7694320678711
trial3_mol_4,91.4472885131836,68.58653259277344,110.87885284423828,6.569010257720947,40.49009323120117,-113.00516510009766
trial3_mol_13,147.026123046875,50.398902893066406,90.26183319091797,-122.92414093017578,-71.1610336303711,-103.35498809814453
