conformation,torsion_1,torsion_2,torsion_3,torsion_4,torsion_5,torsion_6
trial2_mol_7,-119.4554214477539,-46.47297668457031,-58.78670883178711,-55.55646514892578,124.05831146240234,40.65172576904297
trial2_mol_4,23.082469940185547,103.5163345336914,113.53311157226562,113.16748046875,-103.01636505126953,120.41162109375
trial2_mol_1,126.82063293457031,11.271834373474121,-103.02117156982422,-165.00608825683594,37.95012664794922,-176.42193603515625
trial2_mol_11,-139.40371704101562,-107.20794677734375,-32.300926208496094,-66.1518783569336,112.5049819946289,133.85879516601562
trial2_mol_10,58.683692932128906,123.35289001464844,-138.8987274169922,-82.45637512207031,70.75194549560547,106.70980834960938
trial2_mol_5,33.98668670654297,-72.61732482910156,81.49073791503906,-138.250244140625,111.27973937988281,149.97503662109375
trial2_mol_9,-107.92488098144531,-142.16517639160156,66.95838165283203,130.7971954345703,-33.61623764038086,89.08501434326172
trial2_mol_12,37.43391418457031,-73.58024597167969,-67.90470886230469,146.423828125,18.696456909179688,-129.8450927734375
trial2_mol_6,-123.31510162353516,-18.57710838317871,175.2310028076172,166.9348602294922,98.8087158203125,-145.0764617919922
trial2_mol_8,-51.86631393432617,126.05435180664062,36.40940856933594,71.34269714355469,41.28498077392578,-132.54147338867188
trial2_mol_0,115.2771224975586,-175.10623168945312,-161.7989501953125,121.80883026123047,-7.448742866516113,34.243709564208984
trial2_mol_13,147.3950958251953,-44.197227478027344,25.8655948638916,132.02708435058594,152.4217071533203,-129.7486114501953
trial2_mol_14,-41.22416305541992,80.58324432373047,111.4286117553711,-143.77178955078125,-45.34793472290039,-28.7762393951416
trial2_mol_3,109.83685302734375,-92.82254028320312,40.63720703125,-129.78103637695312,114.65898895263672,28.521596908569336
trial2_mol_2,57.3301887512207,-149.48951721191406,-65.1356201171875,-29.174877166748047,-119.18070983886719,-44.48292922973633
