conformation,torsion_1,torsion_2,torsion_3,torsion_4,torsion_5,torsion_6
trial4_mol_3,64.31874084472656,121.55734252929688,-55.479801177978516,9.735891342163086,42.88241195678711,81.53506469726562
trial4_mol_4,-28.725290298461914,6.487668991088867,-107.9986572265625,130.08688354492188,-45.04757308959961,110.86998748779297
trial4_mol_8,-13.10128402709961,-112.07381439208984,-40.2341423034668,14.419169425964355,78.84752655029297,-119.40117645263672
trial4_mol_2,55.999244689941406,-162.18081665039062,134.70465087890625,163.44676208496094,-114.7464370727539,-38.530784606933594
trial4_mol_5,42.14823532104492,-72.68599700927734,106.22867584228516,52.992530822753906,-3.2200262546539307,-130.1997833251953
trial4_mol_12,-54.00397491455078,27.967294692993164,-61.474693298339844,-88.02130889892578,177.8825225830078,-99.64739990234375
trial4_mol_14,-30.133195877075195,78.06737518310547,-154.90452575683594,138.91104125976562,40.14322280883789,-149.61181640625
trial4_mol_1,-163.95391845703125,-90.12983703613281,-5.496472358703613,176.67745971679688,52.44618606567383,158.9087677001953
trial4_mol_6,10.729318618774414,-71.49542999267578,86.03300476074219,-13.877436637878418,69.30201721191406,145.1753387451172
trial4_mol_9,62.108551025390625,22.168840408325195,-73.89266204833984,103.79507446289062,-128.45468139648438,82.75358581542969
trial4_mol_13,179.05581665039062,-61.66815185546875,101.11969757080078,0.21306245028972626,131.3993377685547,113.37146759033203
trial4_mol_11,-22.32648277282715,114.86566925048828,47.22943115234375,-9.220788955688477,-35.23183059692383,-120.17356872558594
trial4_mol_10,11.80845832824707,-135.3336181640625,133.0654754638672,77.19062805175781,42.374629974365234,107.45835876464844
trial4_mol_7,73.5411376953125,-7.452613830566406,166.84213256835938,-75.17598724365234,17.7541446685791,-65.11982727050781
trial4_mol_0,-11.374698638916016,-108.36869049072266,-101.37842559814453,-125.17018127441406,92.37968444824219,-42.33690643310547
