conformation,torsion_1,torsion_2,torsion_3,torsion_4,torsion_5,torsion_6
trial1_mol_8,96.31610870361328,-124.96134185791016,-31.01703643798828,-63.48564529418945,100.74972534179688,130.8571014404297
trial1_mol_1,169.99713134765625,-36.01422119140625,117.83954620361328,158.37069702148438,-87.59489440917969,-157.33102416992188
trial1_mol_9,174.8103790283203,162.14544677734375,122.62139892578125,142.00303649902344,-95.929443359375,104.7369384765625
trial1_mol_2,-69.55603790283203,-167.44647216796875,-153.44174194335938,-40.44912338256836,-116.2523193359375,-42.587100982666016
trial1_mol_14,41.47652816772461,-69.62571716308594,157.06686401367188,86.34490966796875,36.411434173583984,-136.1532440185547
trial1_mol_6,119.64871215820312,-107.99944305419922,-142.88404846191406,-165.6812744140625,-99.27849578857422,70.5113754272461
trial1_mol_13,168.14389038085938,-71.8320083618164,-99.44132995605469,-99.8947525024414,-35.865684509277344,-116.2052993774414
trial1_mol_11,-25.435609817504883,61.53880310058594,-22.306238174438477,25.24217987060547,-11.753946304321289,32.067752838134766
trial1_mol_5,43.534828186035156,-76.5943603515625,105.79610443115234,-142.05528259277344,161.4194793701172,50.754364013671875
trial1_mol_3,147.18997192382812,156.11241149902344,163.28370666503906,-80.26231384277344,138.43890380859375,50.8316650390625
trial1_mol_12,-48.12788391113281,70.2578353881836,-16.994749069213867,71.29296875,18.60932731628418,-123.86348724365234
trial1_mol_10,23.157373428344727,123.43537139892578,-166.07652282714844,-34.04158020019531,136.31613159179688,92.89864349365234
trial1_mol_4,-40.61753845214844,114.89131927490234,114.76876068115234,153.68304443359375,-72.72014617919922,108.36425018310547
trial1_mol_7,102.92425537109375,26.532127380371094,64.47541046142578,0.21489135921001434,-115.70947265625,93.9264907836914
trial1_mol_0,180.0,-119.30403137207031,172.42333984375,-131.93472290039062,97.29032897949219,-41.146976470947266
