conformation,torsion_1,torsion_2,torsion_3,torsion_4,torsion_5,torsion_6
trial3_mol_9,-81.6256332397461,71.41212463378906,-88.09557342529297,22.161327362060547,30.5447998046875,-160.1250457763672
trial3_mol_11,-6.305152893066406,-106.19583892822266,-36.29203414916992,-50.67962646484375,-146.31809997558594,117.13722229003906
trial3_mol_12,35.07320785522461,-82.9197769165039,-76.00305938720703,-74.75179290771484,-151.58184814453125,148.5888214111328
trial3_mol_0,-153.70347595214844,106.2570571899414,58.38236618041992,-121.2161865234375,-0.17017419636249542,-25.798803329467773
trial3_mol_3,-141.8052520751953,113.92192840576172,-156.14344787597656,-168.4065704345703,116.42481231689453,34.6706428527832
trial3_mol_8,-88.88484191894531,134.293212890625,26.010746002197266,-99.27642059326172,-23.906145095825195,-155.73727416992188
trial3_mol_5,-34.43703842163086,85.06134033203125,-171.26817321777344,40.31095504760742,93.40779876708984,46.782066345214844
trial3_mol_14,41.34034729003906,-77.17302703857422,139.8257293701172,88.75721740722656,39.725337982177734,-139.06008911132812
trial3_mol_2,-91.00114440917969,-168.94277954101562,-136.88299560546875,-79.15899658203125,-111.12345123291016,-40.050559997558594
trial3_mol_1,151.85585021972656,178.91519165039062,90.8018798828125,-167.75277709960938,86.10336303710938,145.9988250732422
trial3_mol_7,108.85948944091797,38.57837677001953,172.59617614746094,104.5831298828125,-113.39801025390625,-42.41032791137695
trial3_mol_6,-71.04361724853516,152.24545288085938,166.02577209472656,171.26803588867188,-37.96858596801758,39.591529846191406
trial3_mol_10,-24.5097713470459,-161.2754364013672,-155.36160278320312,-108.31485748291016,-25.03375244140625,-107.41773986816406
trial3_mol_4,-38.571693420410156,151.26132202148438,101.20045471191406,-131.734130859375,146.6212615966797,-116.06130981445312
trial3_mol_13,-94.37102508544922,-44.90133285522461,-159.84915161132812,-151.3125762939453,-0.6199198961257935,-115.04473114013672
